file_accession	tier	file_set	donors	days	donor_days	content_type	file_format	size_bytes	md5sum	download_url	s3_uri
IGVFFI2063IVCE	processed	IGVFDS7766XEPS	C37	3	C37:3	cell by bin methylation count matrix	h5ad	77568944	b0d78dc4454312975b0bdf469760b189	https://api.data.igvf.org/matrix-files/IGVFFI2063IVCE/@@download/IGVFFI2063IVCE.h5ad	s3://igvf-public/2026/01/28/a1219467-10e0-4fe0-8598-da185da7cf35/IGVFFI2063IVCE.h5ad
IGVFFI5416EQNE	processed	IGVFDS7766XEPS	C37	3	C37:3	cell by gene matrix	h5ad	50333052	d7c9906dd52b707f20fedede1f3cfd2d	https://api.data.igvf.org/matrix-files/IGVFFI5416EQNE/@@download/IGVFFI5416EQNE.h5ad	s3://igvf-public/2026/01/28/fb6296bf-823a-4584-a77e-8ff2828905bb/IGVFFI5416EQNE.h5ad
IGVFFI3932IRLF	processed	IGVFDS7766XEPS	C37	3	C37:3	cell by position methylation count matrix	h5ad	12118447640	f3776a6c10034f66532da25c68bba4de	https://api.data.igvf.org/matrix-files/IGVFFI3932IRLF/@@download/IGVFFI3932IRLF.h5ad	s3://igvf-public/2026/02/17/1871cbdd-0451-4e2e-a02c-351a26f7274e/IGVFFI3932IRLF.h5ad
IGVFFI9878TTYP	processed	IGVFDS7766XEPS	C37	3	C37:3	methylation counts	tsv	151447324	9c409c3c99a16fffb5db87869a56f5bd	https://api.data.igvf.org/tabular-files/IGVFFI9878TTYP/@@download/IGVFFI9878TTYP.tsv.gz	s3://igvf-public/2026/01/28/7d96f53b-f96c-43f0-a326-cc286a54cab4/IGVFFI9878TTYP.tsv.gz
IGVFFI8123CUQT	processed	IGVFDS7766XEPS	C37	3	C37:3	per-cell quality report	tsv	819876	acc602e8a1ca8a58818a5574d07b18bd	https://api.data.igvf.org/tabular-files/IGVFFI8123CUQT/@@download/IGVFFI8123CUQT.tsv.gz	s3://igvf-public/2026/07/31/3b48f564-fc19-4de8-a3d0-824af0b38a5e/IGVFFI8123CUQT.tsv.gz
IGVFFI5487XTCP	processed	IGVFDS5460CIPC	C37	5	C37:5	alignments	bam	6635394221	38044849e9480233dc08c37419dec4b3	https://api.data.igvf.org/alignment-files/IGVFFI5487XTCP/@@download/IGVFFI5487XTCP.bam	s3://igvf-public/2026/02/03/269bebe1-4545-4956-9e8f-07d58ff707a1/IGVFFI5487XTCP.bam
IGVFFI9077ZAVO	processed	IGVFDS5460CIPC	C37	5	C37:5	alignments	bam	39653794065	ee8235056743817e3c6d746abbb1942e	https://api.data.igvf.org/alignment-files/IGVFFI9077ZAVO/@@download/IGVFFI9077ZAVO.bam	s3://igvf-public/2026/01/28/ae662ebc-10a3-4dad-b81b-c6ebf9223df6/IGVFFI9077ZAVO.bam
IGVFFI3131PUYJ	processed	IGVFDS5460CIPC	C37	5	C37:5	cell by bin methylation count matrix	h5ad	73311872	b63d6ab118b7bc0f16be0073dfc38082	https://api.data.igvf.org/matrix-files/IGVFFI3131PUYJ/@@download/IGVFFI3131PUYJ.h5ad	s3://igvf-public/2026/01/28/56684218-9ea7-43ac-9b6c-be08083bf008/IGVFFI3131PUYJ.h5ad
IGVFFI6761TEIJ	processed	IGVFDS5460CIPC	C37	5	C37:5	cell by gene matrix	h5ad	47418448	dc01c49e08fbc4792c671c0df9f7777d	https://api.data.igvf.org/matrix-files/IGVFFI6761TEIJ/@@download/IGVFFI6761TEIJ.h5ad	s3://igvf-public/2026/01/28/aee3934c-6b28-4572-9882-8a9f80b9ad04/IGVFFI6761TEIJ.h5ad
IGVFFI3503KTOJ	processed	IGVFDS5460CIPC	C37	5	C37:5	cell by position methylation count matrix	h5ad	9367726536	e9e7760b3c3aff1f9190c40becffdcf6	https://api.data.igvf.org/matrix-files/IGVFFI3503KTOJ/@@download/IGVFFI3503KTOJ.h5ad	s3://igvf-public/2026/02/17/4a3a4238-bd7e-4f18-9614-c074c9ba1cff/IGVFFI3503KTOJ.h5ad
