file_accession	tier	file_set	donors	days	donor_days	content_type	file_format	size_bytes	md5sum	download_url	s3_uri
IGVFFI8403LRZL	processed	IGVFDS1815HRAY	C37	7	C37:7	index	tbi	2216253	91f7de6a42a017ac79cd01a87d397bc6	https://api.data.igvf.org/index-files/IGVFFI8403LRZL/@@download/IGVFFI8403LRZL.tbi	s3://igvf-public/2026/03/26/e9235b4d-e93a-4882-8290-6b74f73b6564/IGVFFI8403LRZL.tbi
IGVFFI0251SASS	processed	IGVFDS1815HRAY	C37	7	C37:7	methylation counts	tsv	156588263	94248d937edeb41e73ef1dfba649d890	https://api.data.igvf.org/tabular-files/IGVFFI0251SASS/@@download/IGVFFI0251SASS.tsv.gz	s3://igvf-public/2026/01/28/941025c9-d21b-4749-b9a5-59c836df602c/IGVFFI0251SASS.tsv.gz
IGVFFI2009SMNP	processed	IGVFDS1815HRAY	C37	7	C37:7	per-cell quality report	tsv	315693	7105d02ef1bc33467443785643d550da	https://api.data.igvf.org/tabular-files/IGVFFI2009SMNP/@@download/IGVFFI2009SMNP.tsv.gz	s3://igvf-public/2026/07/31/0f74389f-cb8b-4091-8e15-99f4be862d8d/IGVFFI2009SMNP.tsv.gz
IGVFFI2222XJNB	processed	IGVFDS0537ZNOZ	C37	9	C37:9	alignments	bam	47710374501	120d8b6f3093557c04282164928d75d1	https://api.data.igvf.org/alignment-files/IGVFFI2222XJNB/@@download/IGVFFI2222XJNB.bam	s3://igvf-public/2026/01/28/327d0655-a7a3-40a2-8339-4cb2b22d06df/IGVFFI2222XJNB.bam
IGVFFI8661FNBT	processed	IGVFDS0537ZNOZ	C37	9	C37:9	cell by bin contact matrix	mcool	112155664	e03910bad3fe59368571172920c1f7d1	https://api.data.igvf.org/matrix-files/IGVFFI8661FNBT/@@download/IGVFFI8661FNBT.mcool	s3://igvf-public/2026/01/28/8860c73d-5b4c-4da4-a058-7e2282f6796b/IGVFFI8661FNBT.mcool
IGVFFI9806JDTR	processed	IGVFDS0537ZNOZ	C37	9	C37:9	cell by bin methylation count matrix	h5ad	97958722	8d60b4ae7f218924dd0d74ecea43dd56	https://api.data.igvf.org/matrix-files/IGVFFI9806JDTR/@@download/IGVFFI9806JDTR.h5ad	s3://igvf-public/2026/01/28/4382f80e-228b-4d76-848e-9ee767b04cad/IGVFFI9806JDTR.h5ad
IGVFFI6258TMKH	processed	IGVFDS0537ZNOZ	C37	9	C37:9	cell by position methylation count matrix	h5ad	9421630184	24545f75749d7fb266b5af0bf6d983b5	https://api.data.igvf.org/matrix-files/IGVFFI6258TMKH/@@download/IGVFFI6258TMKH.h5ad	s3://igvf-public/2026/02/17/edc93adb-b378-440b-bf3d-eeea3b3e47ed/IGVFFI6258TMKH.h5ad
IGVFFI8952DRVW	processed	IGVFDS0537ZNOZ	C37	9	C37:9	chromatin contact quantifications	bedpe	3648477821	7ae14fa91ab6d913c5875af495097879	https://api.data.igvf.org/tabular-files/IGVFFI8952DRVW/@@download/IGVFFI8952DRVW.bedpe.gz	s3://igvf-public/2026/01/28/970f2fb7-ba4a-4f27-966c-5124d886c1c2/IGVFFI8952DRVW.tsv.gz
IGVFFI2448XODL	processed	IGVFDS0537ZNOZ	C37	9	C37:9	index	tbi	2135795	d409f35d5e5110eae60d1bfedc5049e0	https://api.data.igvf.org/index-files/IGVFFI2448XODL/@@download/IGVFFI2448XODL.tbi	s3://igvf-public/2026/03/26/af02fee7-fe6e-407b-abe2-45dbcd99470e/IGVFFI2448XODL.tbi
IGVFFI1392JYCH	processed	IGVFDS0537ZNOZ	C37	9	C37:9	methylation counts	tsv	152978444	b483f76bde5ec8105fc9150d47671d9a	https://api.data.igvf.org/tabular-files/IGVFFI1392JYCH/@@download/IGVFFI1392JYCH.tsv.gz	s3://igvf-public/2026/01/28/ced3c6f8-b700-4c38-a544-e2f57260543d/IGVFFI1392JYCH.tsv.gz
