file_accession	tier	file_set	donors	days	content_type	file_format	size_bytes	md5sum	download_url	s3_uri
IGVFFI3777MDEB	raw	IGVFDS6826TRQB	C37	0	reads	fastq	1714310278	b8dab7065f1a2edbefe105ddbfc6cabe	https://api.data.igvf.org/sequence-files/IGVFFI3777MDEB/@@download/IGVFFI3777MDEB.fastq.gz	s3://igvf-public/2026/08/06/400b875f-d03b-44ad-99ea-c6f83dba846e/IGVFFI3777MDEB.fastq.gz
IGVFFI4113ULLK	raw	IGVFDS6826TRQB	C37	0	reads	fastq	1604793163	1563a1074181720576b74e2e92befb59	https://api.data.igvf.org/sequence-files/IGVFFI4113ULLK/@@download/IGVFFI4113ULLK.fastq.gz	s3://igvf-public/2026/08/05/9c54d46f-9002-4ed8-8959-00e88d8ec17d/IGVFFI4113ULLK.fastq.gz
IGVFFI4236TXQX	raw	IGVFDS6826TRQB	C37	0	reads	fastq	1622252165	dd732267eb078be6bfd1d50469fab5e5	https://api.data.igvf.org/sequence-files/IGVFFI4236TXQX/@@download/IGVFFI4236TXQX.fastq.gz	s3://igvf-public/2026/08/05/784c66a7-722a-4dca-a757-0e9f0d572a6f/IGVFFI4236TXQX.fastq.gz
IGVFFI4326NDGS	raw	IGVFDS6826TRQB	C37	0	reads	fastq	1585719554	739e26791335213a0c2ff706591d9449	https://api.data.igvf.org/sequence-files/IGVFFI4326NDGS/@@download/IGVFFI4326NDGS.fastq.gz	s3://igvf-public/2026/08/06/b568a5fa-3927-4c6b-8ae7-048c7716b12b/IGVFFI4326NDGS.fastq.gz
IGVFFI4670ZIFO	raw	IGVFDS6826TRQB	C37	0	reads	fastq	1703355685	033b84fc56586b2c1b51b398da5658fd	https://api.data.igvf.org/sequence-files/IGVFFI4670ZIFO/@@download/IGVFFI4670ZIFO.fastq.gz	s3://igvf-public/2026/08/06/fec72be4-7d8d-4dc5-8e95-49173284f328/IGVFFI4670ZIFO.fastq.gz
IGVFFI4848BZMT	raw	IGVFDS6826TRQB	C37	0	reads	fastq	1820128536	9dda362002bd0519048685bada6104b8	https://api.data.igvf.org/sequence-files/IGVFFI4848BZMT/@@download/IGVFFI4848BZMT.fastq.gz	s3://igvf-public/2026/08/06/b4c55182-521d-4985-a3f8-8ee280b73f91/IGVFFI4848BZMT.fastq.gz
IGVFFI6242RIMF	raw	IGVFDS6826TRQB	C37	0	reads	fastq	1598175546	d48411640d618dc597d0ca712a2e33b1	https://api.data.igvf.org/sequence-files/IGVFFI6242RIMF/@@download/IGVFFI6242RIMF.fastq.gz	s3://igvf-public/2026/08/05/32ddd741-32e5-42e6-ab5c-0f0bc5290b1c/IGVFFI6242RIMF.fastq.gz
IGVFFI7066YQLC	raw	IGVFDS6826TRQB	C37	0	reads	fastq	1549590756	16005ff69d7b76e8d4d7098ada4d639c	https://api.data.igvf.org/sequence-files/IGVFFI7066YQLC/@@download/IGVFFI7066YQLC.fastq.gz	s3://igvf-public/2026/08/05/5a1ab573-53db-465f-8148-2f5351fe5824/IGVFFI7066YQLC.fastq.gz
IGVFFI7706GXHY	raw	IGVFDS6826TRQB	C37	0	reads	fastq	1724656276	cfc73a538594eaf8f4ed229c427a9053	https://api.data.igvf.org/sequence-files/IGVFFI7706GXHY/@@download/IGVFFI7706GXHY.fastq.gz	s3://igvf-public/2026/08/06/7b3c81ac-8a99-4e72-836c-703bb62c96b3/IGVFFI7706GXHY.fastq.gz
IGVFFI7733NTPQ	raw	IGVFDS6826TRQB	C37	0	reads	fastq	1741182553	5d91326b7534081da2558837e7f47cca	https://api.data.igvf.org/sequence-files/IGVFFI7733NTPQ/@@download/IGVFFI7733NTPQ.fastq.gz	s3://igvf-public/2026/08/06/10fd43ba-d092-4987-94c4-ddeb06bb048d/IGVFFI7733NTPQ.fastq.gz
